include_sos,mapped,sos_category,sos_category,legacy_densho_id,densho_id,sos_facility_uid,legacy_facility_type,facility_name,encyc_url,encyc_article_title,encyc_article_status,date_opened,date_closed,location_description,population_description,exclusion_orders,exit_destinations,duration_class,popsize_class,peak_population,peak_popdate,location_name,location_state,location_tgn,geo_latitude,geo_longitude,notes
yes,yes,wra,Concentration Camp,1,1-w-topa,w-topa,Concentration Camp,Topaz (Central Utah),https://encyclopedia.densho.org/Topaz/,Topaz (Central Utah),published,"September 11, 1942","October 31, 1945","Located at 4,600 feet of elevation in west-central Utah, Topaz was set in Millard County near the town of Delta, 140 miles southwest of Salt Lake City. Topaz Mountain was 9 miles northwest. The 19,800 acres of extremely flat terrain were within the Sevier Desert. Dust was a major problem. Temperatures range from 106 degrees in summer to -30 degrees in winter. Vegetation is mainly high desert brush.","Most of those held in Topaz were from the San Francisco Bay area: Alameda, San Francisco, and San Mateo Counties in California.",,,,,"8,130",1943-03-17,"Delta, Utah",Utah,tgn/2108812,39.3521777,-112.57717,
yes,yes,wra,Concentration Camp,2,2-w-post,w-post,Concentration Camp,Poston (Colorado River),https://encyclopedia.densho.org/Poston_(Colorado_River)/,Poston (Colorado River),published,"June 2, 1942","November 28, 1945","Located at 320 feet of elevation in southwestern Arizona on the Colorado River Reservation in Yuma County (now La Paz), 12 miles south of the town of Parker. The Colorado River runs 2 1/2 miles to the west. The 71,000 acres in the lower Sonoran desert are near the California border. The harsh climate featured hot and humid summers and cold winter nights. Dust was a constant problem.","Held people from Arizona, Oregon, and Washington. Salinas, Santa Anita, and Pinedale Assembly Centers in California as well as Mayer Assembly Center, Arizona, sent their populations here.",,,,,"17,814",1942-09-02,"Parker, Arizona",Arizona,tgn/2007106,34.1500162,-114.2891177,
yes,yes,wra,Concentration Camp,3,3-w-gila,w-gila,Concentration Camp,Gila River,https://encyclopedia.densho.org/Gila_River/,Gila River,published,"July 20, 1942","November 10, 1945","Located in a valley within the Gila River Indian Reservation in Pinal County, 50 miles south of Phoenix, 3 miles north of the Sacaton Mountains. Consisted of two separate camps: Canal and Butte, located 3.5 miles apart between irrigation canals. The 16,500 acres are in an arid desert valley with average summer temperatures over 100 degrees. Vegetation includes mesquite, creosote, and cactus.","Held people from Los Angeles, Sacramento, and Amador Counties; 3,000 were sent from southern San Joaquin Valley; also held 155 Japanese immigrants from Hawaii. Canal Camp housed people from the Turlock Assembly Center and San Joaquin Valley, while Butte Camp housed people from the Tulare and Santa Anita Assembly Centers.",,,,,"13,348",1942-11-30,"Sacaton, Arizona",Arizona,tgn/7015593,32.2212596,-109.1865412,
yes,yes,wra,Concentration Camp,4,4-w-gran,w-gran,Concentration Camp,Granada (Amache),https://encyclopedia.densho.org/Amache_(Granada)/,Granada (Amache),published,"August 27, 1942","October 15, 1945","Located at 3,600 feet of elevation on a wind-swept prairie in southeastern Colorado 140 miles east of Pueblo, 16 miles east of Lamar, and 15 miles west of the Kansas border. The Arkansas River runs 2 1/2 miles north of the camp, but the 10,500 acres of land is arid when not irrigated. Vegetation includes wild grasses, sagebrush, and prickly pear cactus.","Held people from California: Los Angeles, San Diego, and Santa Clara Counties (Merced and Santa Anita Assembly Centers), northern California coast, west Sacramento Valley, and the northern San Joaquin Valley.",,,,,"7,318",1943-02-01,"Granada, Colorado",Colorado,tgn/2015676,38.05692,-102.3234389,
yes,yes,wra,Concentration Camp,5,5-w-hear,w-hear,Concentration Camp,Heart Mountain,https://encyclopedia.densho.org/Heart_Mountain/,Heart Mountain,published,"August 12, 1942","November 10, 1945","Located on 46,000 acres in Park County in northwest Wyoming, 12 miles northwest of Cody, in open sagebrush desert at 4,700 feet of elevation near the Shoshone River. Heart Mountain, 8 miles to the west, creates a dramatic backdrop. Dust storms are common. Winters are severe, with lows dipping to -30 degrees.","Held people from Los Angeles, Santa Clara, and San Francisco, California; Yakima, Washington; and Oregon.",,,,,"10,767",1943-01-01,"Cody, Wyoming",Wyoming,tgn/7013629,44.52634219999999,-109.0565308,
yes,yes,wra,Concentration Camp,6,6-w-jero,w-jero,Concentration Camp,Jerome,https://encyclopedia.densho.org/Jerome/,Jerome,published,"October 6, 1942","June 30, 1944","Located in the Mississippi River delta region 12 miles west of the Mississippi River, 18 miles south of McGehee, 120 miles southeast of Little Rock. The 10,000-acre area was impoverished and consisted of heavily wooded swampland. It was 27 miles south of the Rohwer incarceration camp. Summers were hot and humid, with chiggers, mosquitoes, and poisonous snakes.","Held people from Los Angeles, Fresno, and Sacramento, California; also held people from Honolulu, Hawaii.",,,,,"8,497",1943-02-11,"Denson, Arkansas",Arkansas,tgn/2008597,35.4263645,-91.4556901,
yes,yes,wra,Concentration Camp,7,7-w-manz,w-manz,Concentration Camp,Manzanar,https://encyclopedia.densho.org/Manzanar/,Manzanar,published,"June 2, 1942","November 21, 1945","Located at 3,900 feet of elevation in the desert of the southern Owens Valley in east-central California, 220 miles north of Los Angeles, 250 miles south of Reno, between the towns Lone Pine and Independence. The 6,000 acres are framed by the Sierra Nevada mountains to the west and the White-Inyo range to the east. Summers are hot, winters cold; annual rainfall is under 6 inches, although the area has rivers fed from mountain runoff. Vegetation is mostly sagebrush.","Over 90 percent of the people held here were from the Los Angeles, California, area; others were from Stockton, California, and Bainbridge Island, Washington.",,,,,"10,046",1942-09-22,"Manzanar, California",California,tgn/4006871,36.7285184,-118.1462987,
yes,yes,wra,Concentration Camp,8,8-w-mini,w-mini,Concentration Camp,Minidoka,https://encyclopedia.densho.org/Minidoka/,Minidoka,published,"August 10, 1942","October 28, 1945","Located at 4,000 feet of elevation on uneven terrain in southern Idaho, Minidoka is in the Snake River Plain of Jerome County, 15 miles east of Jerome and 15 miles north of Twin Falls. The 33,000 acres of arid desert was dominated by sagebrush; the southern boundary of the camp was formed by the man-made North Side canal.","Held people from Washington, Oregon, and Alaska; in 1943 many of the incarcerees from Bainbridge Island, Washington, were transferred at their own request to Minidoka from Manzanar.",,,,,"9,397",1943-03-01,"Hunt, Idaho",Idaho,tgn/2025735,42.6782431,-114.2500316,
yes,yes,wra,Concentration Camp,9,9-w-rohw,w-rohw,Concentration Camp,Rohwer,https://encyclopedia.densho.org/Rohwer/,Rohwer,published,"September 18, 1942","November 30, 1945","Located at 140 feet of elevation in Desha County in southeastern Arkansas, 110 miles southeast of Little Rock and 11 miles north of McGehee. The 10,161 acres of wooded swampland were in an impoverished area 27 miles north of the Jerome incarceration camp. The Mississippi River is 5 miles to the east. Summers are hot and humid, with chiggers and mosquitoes adding to the discomfort. The site had severe drainage problems; about half of the site was under swampy water during the spring.","Held people from Los Angeles and San Joaquin, California; incarcerees endured a three-day train ride to Arkansas.",,,,,"8,475",1943-03-11,"Rohwer, Arkansas",Arkansas,tgn/2009393,33.6255234,-91.3945566,
yes,yes,wra,Concentration Camp,10,10-w-tule,w-tule,Concentration Camp,Tule Lake,https://encyclopedia.densho.org/Tule_Lake/,Tule Lake,published,"May 27, 1942","March 20, 1946","Located at an elevation of 4,000 feet on a flat treeless area in Modoc County, 35 miles southeast of Klamath Falls, Oregon, and 10 miles from the town of Tulelake. (The town is spelled as one word and the incarceration camp as two.) Mt. Shasta is 50 miles away and visible on a clear day. The soil is sandy loam; vegetation is sparse grass and sagebrush. Winters are long and cold; summers are hot and dry.","First to arrive were 500 volunteer residents from the Portland and Puyallup Assembly Centers. Others arrived from the Marysville, Pinedale, Pomona, Sacramento, and Salinas Assembly Centers in California. Some were sent directly from the southern San Joaquin Valley. After it became a segregation center, the camp held people from California, Hawaii, Washington, and Oregon.",,,,,"18,789",1944-12-25,"Newell, California",California,tgn/2012922,41.8882132,-121.3722116,
