far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
granada1-1,4-amache,Broderick,CA,La Junta,CO,1945-07-14 00:00:00,37.155177,-119.543418,37.954619,-103.664437
granada1-2,4-amache,Broderick,CA,La Junta,CO,1945-07-14 00:00:00,37.155177,-119.543418,37.954619,-103.664437
granada1-3,4-amache,Broderick,CA,Fort Logan,CO,1944-04-21 00:00:00,37.155177,-119.543418,,
granada1-4,4-amache,Broderick,CA,Chicago,IL,1945-05-29 00:00:00,37.155177,-119.543418,41.88531,-87.62213
granada1-5,4-amache,Broderick,CA,Clinton,IA,1944-03-25 00:00:00,37.155177,-119.543418,41.899176,-90.301599
granada1-6,4-amache,Broderick,CA,Fort Leavenworth,KS,1944-12-11 00:00:00,37.155177,-119.543418,39.346798,-94.931329
granada1-7,4-amache,Broderick,CA,La Junta,CO,1945-07-14 00:00:00,37.155177,-119.543418,37.954619,-103.664437
granada1-8,4-amache,Broderick,CA,La Junta,CO,1945-07-14 00:00:00,37.155177,-119.543418,37.954619,-103.664437
granada1-9,4-amache,Broderick,CA,La Junta,CO,1945-07-14 00:00:00,37.155177,-119.543418,37.954619,-103.664437
granada1-11,4-amache,Los Angeles,CA,Elko,NV,1944-04-26 00:00:00,33.973951,-118.248405,40.905583,-115.534429
granada1-14,4-amache,Los Angeles,CA,New York,NY,1944-03-23 00:00:00,33.973951,-118.248405,40.750422,-73.996328
granada1-15,4-amache,Ukiah,CA,Ukiah,CA,1945-09-20 00:00:00,39.15017,-123.20778,39.15017,-123.20778
granada1-16,4-amache,Los Angeles,CA,Elko,NV,1944-04-06 00:00:00,33.973951,-118.248405,40.905583,-115.534429
granada1-17,4-amache,Los Angeles,CA,Elko,NV,1944-04-26 00:00:00,33.973951,-118.248405,40.905583,-115.534429
granada1-18,4-amache,Salinas,CA,Alameda,CA,1945-09-23 00:00:00,36.64152,-121.622188,37.770563,-122.264779
granada1-19,4-amache,Salinas,CA,Alameda,CA,1945-09-23 00:00:00,36.64152,-121.622188,37.770563,-122.264779
granada1-20,4-amache,Salinas,CA,Cleveland,OH,1944-11-10 00:00:00,36.64152,-121.622188,41.489381,-81.667486
granada1-21,4-amache,Los Angeles,CA,Los Angeles,CA,1945-10-02 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-22,4-amache,Los Angeles,CA,Los Angeles,CA,1945-10-02 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-23,4-amache,Los Angeles,CA,Enid,OH,1944-09-07 00:00:00,33.973951,-118.248405,,
granada1-24,4-amache,Los Angeles,CA,Denver,CO,1944-09-23 00:00:00,33.973951,-118.248405,39.760189,-104.996553
granada1-25,4-amache,Los Angeles,CA,Chicago,IL,1945-03-30 00:00:00,33.973951,-118.248405,41.88531,-87.62213
granada1-26,4-amache,Fresno,CA,Chicago,IL,1944-07-13 00:00:00,36.8411,-119.801015,41.88531,-87.62213
granada1-28,4-amache,Fresno,CA,Chicago,IL,1945-09-16 00:00:00,36.8411,-119.801015,41.88531,-87.62213
granada1-29,4-amache,Fresno,CA,Oakland,CA,1945-10-15 00:00:00,36.8411,-119.801015,37.786027,-122.223779
granada1-30,4-amache,Los Angeles,CA,Fort Logan,CO,1943-08-12 00:00:00,33.973951,-118.248405,,
granada1-32,4-amache,Sebastopol,CA,Ann Arbor,MI,1945-07-19 00:00:00,38.407222,-122.869654,42.266638,-83.849042
granada1-33,4-amache,Sebastopol,CA,Northbrook,IL,1943-05-27 00:00:00,38.407222,-122.869654,42.120176,-87.838815
granada1-34,4-amache,Sebastopol,CA,Albion,MI,1943-01-14 00:00:00,38.407222,-122.869654,42.2906,-84.792885
granada1-35,4-amache,Sebastopol,CA,Fort Logan,CO,1944-09-13 00:00:00,38.407222,-122.869654,,
granada1-36,4-amache,Sebastopol,CA,New Wilmington,PA,1944-02-11 00:00:00,38.407222,-122.869654,41.10446,-80.352749
granada1-37,4-amache,Los Angeles,CA,Ithaca,NY,1943-11-22 00:00:00,33.973951,-118.248405,42.402794,-76.483999
granada1-38,4-amache,Ceres,CA,Walla Walla,WA,1945-03-29 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-39,4-amache,Ceres,CA,Walla Walla,WA,1945-04-06 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-40,4-amache,Ceres,CA,Walla Walla,WA,1945-04-06 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-41,4-amache,Ceres,CA,Chicago,IL,1945-04-09 00:00:00,37.561889,-120.967976,41.88531,-87.62213
granada1-42,4-amache,Ceres,CA,Walla Walla,WA,1945-03-17 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-43,4-amache,Ceres,CA,Walla Walla,WA,1945-04-06 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-44,4-amache,Ceres,CA,Walla Walla,WA,1945-04-06 00:00:00,37.561889,-120.967976,46.1341,-118.291407
granada1-45,4-amache,Yuba City,CA,Yuba City,CA,1945-10-05 00:00:00,39.048854,-121.612481,39.048854,-121.612481
granada1-46,4-amache,Los Angeles,CA,New York,NY,1944-10-05 00:00:00,33.973951,-118.248405,40.750422,-73.996328
granada1-47,4-amache,Los Angeles,CA,New York,NY,1944-10-05 00:00:00,33.973951,-118.248405,40.750422,-73.996328
granada1-48,4-amache,Los Angeles,CA,Cleveland,OH,1943-06-16 00:00:00,33.973951,-118.248405,41.489381,-81.667486
granada1-49,4-amache,Los Angeles,CA,Denver,CO,1944-04-20 00:00:00,33.973951,-118.248405,39.760189,-104.996553
granada1-50,4-amache,Los Angeles,CA,New York,NY,1943-09-22 00:00:00,33.973951,-118.248405,40.750422,-73.996328
granada1-51,4-amache,Sacramento,CA,Sacramento,CA,1945-10-14 00:00:00,38.380456,-121.555406,38.380456,-121.555406
granada1-52,4-amache,Walnut Grove,CA,Denver,CO,1943-09-08 00:00:00,38.2559,-121.50835,39.760189,-104.996553
granada1-56,4-amache,Turlock,CA,Sacramento,CA,1945-10-13 00:00:00,37.474396,-120.875918,38.380456,-121.555406
granada1-57,4-amache,Los Angeles,CA,Los Angeles,CA,1945-08-27 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-58,4-amache,Los Angeles,CA,Los Angeles,CA,1945-08-27 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-59,4-amache,Los Angeles,CA,Springfield,UT,1943-08-25 00:00:00,33.973951,-118.248405,40.180718,-111.562586
granada1-60,4-amache,Los Angeles,CA,Springfield,UT,1943-08-25 00:00:00,33.973951,-118.248405,40.180718,-111.562586
granada1-61,4-amache,Los Angeles,CA,Los Angeles,CA,1945-08-27 00:00:00,33.973951,-118.248405,33.973951,-118.248405
granada1-62,4-amache,Los Angeles,CA,Los Angeles,CA,1945-08-27 00:00:00,33.973951,-118.248405,33.973951,-118.248405
