far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
gilariver1-1,3-gilariver,Brentwood,CA,Chicago,IL,1944-06-15 00:00:00,37.922228,-121.668359,41.88531,-87.62213
gilariver1-2,3-gilariver,Brentwood,CA,Phoenix,AZ,1945-08-25 00:00:00,37.922228,-121.668359,33.703967,-112.351835
gilariver1-3,3-gilariver,Brentwood,CA,Phoenix,AZ,1945-08-25 00:00:00,37.922228,-121.668359,33.703967,-112.351835
gilariver1-4,3-gilariver,Brentwood,CA,Phoenix,AZ,1945-08-25 00:00:00,37.922228,-121.668359,33.703967,-112.351835
gilariver1-5,3-gilariver,Brentwood,CA,Aurora,IL,1945-02-15 00:00:00,37.922228,-121.668359,41.747452,-88.238622
gilariver1-6,3-gilariver,Brentwood,CA,Phoenix,AZ,1945-08-25 00:00:00,37.922228,-121.668359,33.703967,-112.351835
gilariver1-7,3-gilariver,Brentwood,CA,Phoenix,AZ,1945-08-25 00:00:00,37.922228,-121.668359,33.703967,-112.351835
gilariver1-8,3-gilariver,Kingsburg,CA,Parlier,CA,1945-02-21 00:00:00,36.51384,-119.55402,36.61162,-119.52707
gilariver1-9,3-gilariver,Selma,CA,Parlier,CA,1945-02-21 00:00:00,36.57078,-119.61208,36.61162,-119.52707
gilariver1-10,3-gilariver,,,Parlier,CA,1945-02-21 00:00:00,,,36.61162,-119.52707
gilariver1-16,3-gilariver,Guadalupe,CA,Guadalupe,CA,1945-10-12 00:00:00,34.938796,-120.57318,34.938796,-120.57318
gilariver1-17,3-gilariver,Vacaville,CA,Chicago,IL,1945-10-12 00:00:00,38.333133,-121.920151,41.88531,-87.62213
gilariver1-18,3-gilariver,Walnut Grove,CA,Walnut Grove,CA,1945-09-07 00:00:00,38.2559,-121.50835,38.2559,-121.50835
gilariver1-19,3-gilariver,Sacramento,CA,Gardena,CA,1945-10-25 00:00:00,38.380456,-121.555406,33.888315,-118.295256
gilariver1-20,3-gilariver,Sacramento,CA,Gardena,CA,1945-10-25 00:00:00,38.380456,-121.555406,33.888315,-118.295256
gilariver1-21,3-gilariver,Sacramento,CA,Almont,MI,1945-07-17 00:00:00,38.380456,-121.555406,42.934027,-83.052481
gilariver1-22,3-gilariver,Walnut Grove,CA,Lodi,CA,1945-09-05 00:00:00,38.2559,-121.50835,38.111356,-121.172415
gilariver1-23,3-gilariver,Stockton,CA,Columbia Univ.,NY,1943-01-30 00:00:00,37.672196,-121.298794,,
gilariver1-24,3-gilariver,Stockton,CA,Stockton,CA,1945-08-30 00:00:00,37.672196,-121.298794,37.672196,-121.298794
gilariver1-25,3-gilariver,Stockton,CA,Stockton,CA,1945-08-30 00:00:00,37.672196,-121.298794,37.672196,-121.298794
gilariver1-26,3-gilariver,Lathrop,CA,Glendale,AZ,1945-03-20 00:00:00,37.811976,-121.287362,33.531753,-112.177935
gilariver1-27,3-gilariver,Lathrop,CA,Glendale,AZ,1945-03-20 00:00:00,37.811976,-121.287362,33.531753,-112.177935
gilariver1-28,3-gilariver,Lathrop,CA,Glendale,AZ,1945-03-20 00:00:00,37.811976,-121.287362,33.531753,-112.177935
