far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
heartmountain1-1,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-10-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-2,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-10-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-3,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-10-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-4,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-08-20 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-5,5-heartmountain,Los Angeles,CA,Chicago,IL,1943-10-18 00:00:00,33.973951,-118.248405,41.88531,-87.62213
heartmountain1-6,5-heartmountain,Los Angeles,CA,Chicago,IL,1945-08-14 00:00:00,33.973951,-118.248405,41.88531,-87.62213
heartmountain1-7,5-heartmountain,Los Angeles,CA,Barrington,IL,1943-04-22 00:00:00,33.973951,-118.248405,42.146794,-88.165268
heartmountain1-8,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-08-20 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-9,5-heartmountain,Los Angeles,CA,Los Angeles,CA,1945-08-20 00:00:00,33.973951,-118.248405,33.973951,-118.248405
heartmountain1-10,5-heartmountain,Los Angeles,CA,Denver,CO,1943-07-13 00:00:00,33.973951,-118.248405,39.760189,-104.996553
heartmountain1-11,5-heartmountain,Los Angeles,CA,Billings,MT,1944-09-01 00:00:00,33.973951,-118.248405,45.686966,-108.387392
heartmountain1-12,5-heartmountain,Los Angeles,CA,Denver,CO,1945-06-12 00:00:00,33.973951,-118.248405,39.760189,-104.996553
heartmountain1-13,5-heartmountain,,,Denver,CO,1945-06-12 00:00:00,,,39.760189,-104.996553
