far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
jerome2-1,6-jerome,Hanford,CA,Great Falls,MT,1944-04-13 00:00:00,36.220468,-119.71776,47.511219,-111.2755
jerome2-2,6-jerome,Wilmington,CA,Kremlin,MT,1944-03-09 00:00:00,33.779417,-118.253853,48.449359,-110.106003
jerome2-3,6-jerome,Wilmington,CA,Whitefish,MT,1943-09-16 00:00:00,33.779417,-118.253853,48.41358,-114.33569
jerome2-4,6-jerome,Fresno,CA,Logan,UT,1943-07-08 00:00:00,36.8411,-119.801015,41.717722,-111.836493
jerome2-5,6-jerome,Fresno,CA,Logan,UT,1943-07-08 00:00:00,36.8411,-119.801015,41.717722,-111.836493
jerome2-6,6-jerome,Fresno,CA,Logan,UT,1943-07-08 00:00:00,36.8411,-119.801015,41.717722,-111.836493
jerome2-7,6-jerome,Fresno,CA,Logan,UT,1943-07-08 00:00:00,36.8411,-119.801015,41.717722,-111.836493
jerome2-8,6-jerome,Fresno,CA,Logan,UT,1943-07-08 00:00:00,36.8411,-119.801015,41.717722,-111.836493
jerome2-9,6-jerome,Fowler,CA,Logan,UT,1943-06-23 00:00:00,36.623402,-119.691869,41.717722,-111.836493
jerome2-10,6-jerome,Earlimart,CA,Great Falls,MT,1943-07-08 00:00:00,35.875918,-119.262323,47.511219,-111.2755
jerome2-11,6-jerome,Madera,CA,Tremonton,UT,1943-10-18 00:00:00,36.928286,-120.182423,41.68849,-112.255453
jerome2-12,6-jerome,San Pedro,CA,Denver,CO,1943-07-08 00:00:00,33.753088,-118.253053,39.760189,-104.996553
jerome2-16,6-jerome,Long Beach,CA,Bridgeton,CO,1943-02-20 00:00:00,33.804309,-118.200957,,
jerome2-17,6-jerome,Long Beach,CA,Bridgeton,CO,1943-02-20 00:00:00,33.804309,-118.200957,,
jerome2-18,6-jerome,Long Beach,CA,Bridgeton,CO,1943-02-20 00:00:00,33.804309,-118.200957,,
jerome2-20,6-jerome,Long Beach,CA,Bridgeton,CO,1943-02-20 00:00:00,33.804309,-118.200957,,
jerome2-22,6-jerome,Sacramento,CA,Ordway,CO,1943-07-21 00:00:00,38.380456,-121.555406,38.317486,-103.780036
jerome2-24,6-jerome,Sacramento,CA,Ordway,CO,1943-07-21 00:00:00,38.380456,-121.555406,38.317486,-103.780036
jerome2-26,6-jerome,Sacramento,CA,Ordway,CO,1943-07-21 00:00:00,38.380456,-121.555406,38.317486,-103.780036
jerome2-27,6-jerome,Sacramento,CA,Ordway,CO,1943-07-21 00:00:00,38.380456,-121.555406,38.317486,-103.780036
jerome2-28,6-jerome,Sacramento,CA,Ordway,CO,1943-07-21 00:00:00,38.380456,-121.555406,38.317486,-103.780036
jerome2-29,6-jerome,Delano,CA,Glasgow,MT,1944-02-15 00:00:00,35.779507,-119.200825,48.19502,-106.63616
jerome2-30,6-jerome,Long Beach,CA,Platteville,CO,1943-02-12 00:00:00,33.804309,-118.200957,40.217382,-104.712141
jerome2-31,6-jerome,Harbor City,CA,Denver,CO,1943-06-15 00:00:00,33.79002,-118.29785,39.760189,-104.996553
jerome2-32,6-jerome,Alvarado,CA,Ogden,UT,1943-07-10 00:00:00,,,41.244261,-112.007924
jerome2-36,6-jerome,Fresno,CA,Denver,CO,1943-12-15 00:00:00,36.8411,-119.801015,39.760189,-104.996553
jerome2-38,6-jerome,Madera,CA,Bear River City,UT,1944-05-05 00:00:00,36.928286,-120.182423,41.609266,-112.124107
