far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
manzanar1-2,7-manzanar,Glendale,CA,Los Angeles,CA,1945-10-15 00:00:00,34.17051,-118.289463,33.973951,-118.248405
manzanar1-3,7-manzanar,Glendale,CA,Los Angeles,CA,1945-10-15 00:00:00,34.17051,-118.289463,33.973951,-118.248405
manzanar1-4,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-09 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-5,7-manzanar,Moneta,CA,Riverside,CA,1945-11-09 00:00:00,,,33.99504,-117.373184
manzanar1-6,7-manzanar,Moneta,CA,Riverside,CA,1945-11-09 00:00:00,,,33.99504,-117.373184
manzanar1-7,7-manzanar,,,Riverside,CA,1945-11-09 00:00:00,,,33.99504,-117.373184
manzanar1-10,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-11,7-manzanar,Los Angeles,CA,Ft. Douglas,UT,1945-07-20 00:00:00,33.973951,-118.248405,,
manzanar1-12,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-07-25 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-13,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-14,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-15,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-09-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-16,7-manzanar,Los Angeles,CA,Ft. Douglas,UT,1943-04-27 00:00:00,33.973951,-118.248405,,
manzanar1-23,7-manzanar,Torrance,CA,Saugus,CA,1945-11-05 00:00:00,33.835665,-118.303805,34.411385,-118.540086
manzanar1-24,7-manzanar,Torrance,CA,Cleveland,OH,1944-01-19 00:00:00,33.835665,-118.303805,41.489381,-81.667486
manzanar1-25,7-manzanar,Los Angeles,CA,Ft. Douglas,UT,1945-07-06 00:00:00,33.973951,-118.248405,,
manzanar1-27,7-manzanar,Los Angeles,CA,Spokane,WA,1945-04-12 00:00:00,33.973951,-118.248405,47.66264,-117.435997
manzanar1-30,7-manzanar,Los Angeles,CA,Hollywood,CA,1945-11-21 00:00:00,33.973951,-118.248405,,
manzanar1-31,7-manzanar,Los Angeles,CA,Hollywood,CA,1945-11-21 00:00:00,33.973951,-118.248405,,
manzanar1-32,7-manzanar,Los Angeles,CA,Boulder,CO,1943-06-03 00:00:00,33.973951,-118.248405,40.049468,-105.201421
manzanar1-33,7-manzanar,Los Angeles,CA,Savage,MN,1944-03-10 00:00:00,33.973951,-118.248405,44.751113,-93.367975
manzanar1-34,7-manzanar,Los Angeles,CA,Savage,MN,1944-03-10 00:00:00,33.973951,-118.248405,44.751113,-93.367975
manzanar1-35,7-manzanar,Los Angeles,CA,Sierra Madre,CA,1945-03-19 00:00:00,33.973951,-118.248405,34.168771,-118.050216
manzanar1-41,7-manzanar,Los Angeles,CA,Chicago,IL,1945-08-11 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-42,7-manzanar,Los Angeles,CA,Chicago,IL,1945-08-11 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-43,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-26 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-44,7-manzanar,Terminal Island,CA,Wheaton,IL,1943-09-01 00:00:00,40.026261,-123.490301,41.87272,-88.112442
manzanar1-48,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-49,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-50,7-manzanar,Los Angeles,CA,Chicago,IL,1945-03-06 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-51,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-52,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-05 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-53,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-54,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-55,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-11-21 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-60,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-05-29 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-61,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-08-10 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-62,7-manzanar,Los Angeles,CA,Long Beach,CA,1945-10-23 00:00:00,33.973951,-118.248405,33.804309,-118.200957
manzanar1-63,7-manzanar,Los Angeles,CA,Long Beach,CA,1945-10-23 00:00:00,33.973951,-118.248405,33.804309,-118.200957
manzanar1-66,7-manzanar,Los Angeles,CA,Long Beach,CA,1945-10-16 00:00:00,33.973951,-118.248405,33.804309,-118.200957
manzanar1-67,7-manzanar,Los Angeles,CA,Los Angeles,CA,1945-10-29 00:00:00,33.973951,-118.248405,33.973951,-118.248405
manzanar1-68,7-manzanar,Los Angeles,CA,Brigham City,UT,1945-06-09 00:00:00,33.973951,-118.248405,41.537922,-112.061761
manzanar1-69,7-manzanar,Los Angeles,CA,Brigham City,UT,1945-06-09 00:00:00,33.973951,-118.248405,41.537922,-112.061761
manzanar1-70,7-manzanar,Los Angeles,CA,Chicago,IL,1944-09-13 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-71,7-manzanar,Los Angeles,CA,Chicago,IL,1945-06-07 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-72,7-manzanar,Los Angeles,CA,Chicago,IL,1945-06-07 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-73,7-manzanar,Los Angeles,CA,Brigham City,UT,1945-06-09 00:00:00,33.973951,-118.248405,41.537922,-112.061761
manzanar1-74,7-manzanar,Los Angeles,CA,Chicago,IL,1943-03-26 00:00:00,33.973951,-118.248405,41.88531,-87.62213
manzanar1-76,7-manzanar,San Gabriel,CA,Alamosa,CO,1943-05-06 00:00:00,34.114772,-118.089431,37.479933,-105.790967
manzanar1-77,7-manzanar,Pacoima,CA,Grand Junction,CO,1943-05-05 00:00:00,34.255442,-118.421314,39.069019,-108.583126
manzanar1-78,7-manzanar,Pacoima,CA,Grand Junction,CO,1943-05-05 00:00:00,34.255442,-118.421314,39.069019,-108.583126
manzanar1-79,7-manzanar,Pacoima,CA,Grand Junction,CO,1943-05-05 00:00:00,34.255442,-118.421314,39.069019,-108.583126
