far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
minidoka2-1,8-minidoka,Marysville,CA,East Farms,WA,1944-08-09 00:00:00,39.14573,-121.59135,,
minidoka2-2,8-minidoka,Portland,OR,Weiser,ID,1943-07-08 00:00:00,45.507856,-122.690794,44.304193,-116.859937
minidoka2-3,8-minidoka,Hillsboro,OR,Nyssa,OR,1943-07-08 00:00:00,45.458397,-122.977963,43.627554,-117.207823
minidoka2-4,8-minidoka,Portland,OR,Spokane,WA,1943-12-16 00:00:00,45.507856,-122.690794,47.66264,-117.435997
minidoka2-5,8-minidoka,Eatonville,WA,Blaine,MT,1943-11-20 00:00:00,46.904844,-122.30141,,
minidoka2-6,8-minidoka,Troutdale,OR,Payette,ID,1943-11-20 00:00:00,45.525007,-122.390049,44.063604,-116.750704
minidoka2-7,8-minidoka,Gaston,OR,Malheur,OR,1944-02-02 00:00:00,45.466171,-123.149974,43.971713,-120.622958
minidoka2-8,8-minidoka,Portland,OR,Weiser,ID,1943-08-23 00:00:00,45.507856,-122.690794,44.304193,-116.859937
minidoka2-10,8-minidoka,Gresham,OR,Weiser,ID,1943-07-07 00:00:00,45.508117,-122.430233,44.304193,-116.859937
minidoka2-11,8-minidoka,Gresham,OR,Weiser,ID,1943-12-16 00:00:00,45.508117,-122.430233,44.304193,-116.859937
minidoka2-12,8-minidoka,Gresham,OR,Weiser,ID,1943-07-05 00:00:00,45.508117,-122.430233,44.304193,-116.859937
minidoka2-13,8-minidoka,Gaston,OR,Weiser,ID,1943-07-06 00:00:00,45.466171,-123.149974,44.304193,-116.859937
minidoka2-14,8-minidoka,Gresham,OR,Weiser,ID,1943-06-16 00:00:00,45.508117,-122.430233,44.304193,-116.859937
minidoka2-15,8-minidoka,Portland,OR,Nyssa,OR,1943-12-16 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-16,8-minidoka,Portland,OR,Nyssa,OR,1943-07-08 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-17,8-minidoka,Portland,OR,Nyssa,OR,1943-07-08 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-18,8-minidoka,Portland,OR,Nyssa,OR,1943-01-09 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-19,8-minidoka,Portland,OR,Nyssa,OR,1943-07-06 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-21,8-minidoka,Portland,OR,Nyssa,OR,1943-12-16 00:00:00,45.507856,-122.690794,43.627554,-117.207823
minidoka2-22,8-minidoka,Troutdale,OR,Nyssa,OR,1943-12-15 00:00:00,45.525007,-122.390049,43.627554,-117.207823
minidoka2-23,8-minidoka,Troutdale,OR,Denver,CO,1943-08-09 00:00:00,45.525007,-122.390049,39.760189,-104.996553
minidoka2-24,8-minidoka,Troutdale,OR,Nyssa,OR,1943-11-20 00:00:00,45.525007,-122.390049,43.627554,-117.207823
minidoka2-28,8-minidoka,Troutdale,OR,Nyssa,OR,1942-10-29 00:00:00,45.525007,-122.390049,43.627554,-117.207823
minidoka2-29,8-minidoka,Portland,OR,Malheur,OR,1942-09-21 00:00:00,45.507856,-122.690794,43.971713,-120.622958
minidoka2-30,8-minidoka,Auburn,WA,Ontario,OR,1944-08-16 00:00:00,47.309496,-122.264469,44.093127,-117.079896
minidoka2-31,8-minidoka,Independence,OR,Ogden,UT,1944-08-05 00:00:00,44.85123,-123.18677,41.244261,-112.007924
minidoka2-32,8-minidoka,Troutdale,OR,Malheur,OR,1943-07-23 00:00:00,45.525007,-122.390049,43.971713,-120.622958
minidoka2-33,8-minidoka,Unk.,,Malheur,OR,1944-05-20 00:00:00,,,43.971713,-120.622958
minidoka2-34,8-minidoka,Gaston,OR,Weiser,ID,1943-08-23 00:00:00,45.466171,-123.149974,44.304193,-116.859937
minidoka2-35,8-minidoka,Gaston,OR,Weiser,ID,1944-01-15 00:00:00,45.466171,-123.149974,44.304193,-116.859937
minidoka2-36,8-minidoka,Kent,WA,Walla Walla,WA,1944-08-15 00:00:00,47.405479,-122.195772,46.1341,-118.291407
minidoka2-37,8-minidoka,Sherwood,OR,Weiser,ID,1943-07-28 00:00:00,45.371478,-122.874613,44.304193,-116.859937
minidoka2-38,8-minidoka,Portland,OR,Portland,OR,1943-03-17 00:00:00,45.507856,-122.690794,45.507856,-122.690794
