far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
poston1-3,2-poston,Seal Beach,CA,Chicago,IL,1944-06-19 00:00:00,33.74141,-118.10479,41.88531,-87.62213
poston1-5,2-poston,Bakersfield,CA,Seattle,WA,1945-09-26 00:00:00,35.384337,-119.020562,47.432251,-121.803388
poston1-6,2-poston,Seal Beach,CA,Philadelphia,PA,1944-03-21 00:00:00,33.74141,-118.10479,40.001811,-75.11787
poston1-13,2-poston,Reedley,CA,Reedley,CA,1945-07-23 00:00:00,36.669807,-119.398857,36.669807,-119.398857
poston1-14,2-poston,Reedley,CA,Reedley,CA,1945-07-23 00:00:00,36.669807,-119.398857,36.669807,-119.398857
poston1-15,2-poston,Reedley,CA,New York,NY,1945-09-11 00:00:00,36.669807,-119.398857,40.750422,-73.996328
poston1-16,2-poston,Reedley,CA,Reedley,CA,1945-07-23 00:00:00,36.669807,-119.398857,36.669807,-119.398857
poston1-17,2-poston,Reedley,CA,Reedley,CA,1945-07-23 00:00:00,36.669807,-119.398857,36.669807,-119.398857
poston1-18,2-poston,Reedley,CA,Denver,CO,1943-06-18 00:00:00,36.669807,-119.398857,39.760189,-104.996553
poston1-19,2-poston,Reedley,CA,Detroit,MI,1944-11-14 00:00:00,36.669807,-119.398857,42.347021,-83.060184
poston1-20,2-poston,Orosi,CA,Orosi,CA,1945-02-18 00:00:00,36.555602,-119.166499,36.555602,-119.166499
poston1-21,2-poston,Orosi,CA,Orosi,CA,1945-04-12 00:00:00,36.555602,-119.166499,36.555602,-119.166499
poston1-22,2-poston,Orosi,CA,Orosi,CA,1945-04-12 00:00:00,36.555602,-119.166499,36.555602,-119.166499
poston1-23,2-poston,Orosi,CA,Chicago,IL,1944-02-01 00:00:00,36.555602,-119.166499,41.88531,-87.62213
poston1-24,2-poston,Orosi,CA,Ontario,OR,1944-11-23 00:00:00,36.555602,-119.166499,44.093127,-117.079896
poston1-25,2-poston,Orosi,CA,Reedley,CA,1945-04-12 00:00:00,36.555602,-119.166499,36.669807,-119.398857
poston1-28,2-poston,Salinas,CA,Salinas,CA,1945-08-27 00:00:00,36.64152,-121.622188,36.64152,-121.622188
poston1-29,2-poston,Salinas,CA,Salinas,CA,1945-08-27 00:00:00,36.64152,-121.622188,36.64152,-121.622188
poston1-30,2-poston,Salinas,CA,Chicago,IL,1943-06-01 00:00:00,36.64152,-121.622188,41.88531,-87.62213
poston1-31,2-poston,Salinas,CA,Ft Douglas,UT,1945-02-16 00:00:00,36.64152,-121.622188,,
poston1-32,2-poston,Salinas,CA,Salinas,CA,1945-08-27 00:00:00,36.64152,-121.622188,36.64152,-121.622188
poston1-33,2-poston,San Juan Capistrano,CA,Los Angeles,CA,1945-10-27 00:00:00,33.501773,-117.608674,33.973951,-118.248405
poston1-34,2-poston,San Juan Capistrano,CA,Los Angeles,CA,1945-10-27 00:00:00,33.501773,-117.608674,33.973951,-118.248405
poston1-35,2-poston,San Juan Capistrano,CA,Los Angeles,CA,1945-09-10 00:00:00,33.501773,-117.608674,33.973951,-118.248405
poston1-36,2-poston,San Juan Capistrano,CA,Los Angeles,CA,1945-10-22 00:00:00,33.501773,-117.608674,33.973951,-118.248405
poston1-37,2-poston,San Juan Capistrano,CA,Los Angeles,CA,1945-10-22 00:00:00,33.501773,-117.608674,33.973951,-118.248405
poston1-38,2-poston,Anaheim,CA,Orange,CA,1945-09-17 00:00:00,33.844983,-117.952151,33.640302,-117.769442
poston1-39,2-poston,Anaheim,CA,Orange,CA,1945-09-17 00:00:00,33.844983,-117.952151,33.640302,-117.769442
poston1-40,2-poston,Salinas,CA,Los Gatos,CA,1945-08-28 00:00:00,36.64152,-121.622188,37.222788,-121.983274
poston1-41,2-poston,Salinas,CA,Los Gatos,CA,1945-08-28 00:00:00,36.64152,-121.622188,37.222788,-121.983274
poston1-42,2-poston,Salinas,CA,Los Gatos,CA,1945-08-28 00:00:00,36.64152,-121.622188,37.222788,-121.983274
poston1-43,2-poston,Salinas,CA,Los Gatos,CA,1945-08-28 00:00:00,36.64152,-121.622188,37.222788,-121.983274
poston1-44,2-poston,Visalia,CA,Payette,ID,1945-08-15 00:00:00,36.303793,-119.375646,44.063604,-116.750704
poston1-46,2-poston,Yettem,CA,Kingsburg,CA,1945-06-06 00:00:00,36.471833,-119.259352,36.51384,-119.55402
poston1-48,2-poston,Yettem,CA,Kingsburg,CA,1945-06-06 00:00:00,36.471833,-119.259352,36.51384,-119.55402
