far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
rohwer2-1,9-rohwer,Acampo,CA,Chicago,IL,1943-11-10 00:00:00,38.198666,-121.230207,41.88531,-87.62213
rohwer2-2,9-rohwer,Stockton,CA,Spokane,WA,1944-04-21 00:00:00,37.672196,-121.298794,47.66264,-117.435997
rohwer2-3,9-rohwer,Terminus,CA,Salt Lake City,UT,1944-10-23 00:00:00,38.114388,-121.144658,40.756095,-111.900719
rohwer2-4,9-rohwer,Whittier,CA,Aberdeen,ID,1943-07-03 00:00:00,34.004311,-118.0441,43.004883,-112.839971
rohwer2-5,9-rohwer,Stockton,CA,Spokane,WA,1944-09-08 00:00:00,37.672196,-121.298794,47.66264,-117.435997
rohwer2-6,9-rohwer,Lodi,CA,Missoula,MT,1943-04-09 00:00:00,38.111356,-121.172415,46.856398,-114.014338
rohwer2-7,9-rohwer,Los Angeles,CA,Idaho Falls,ID,1943-07-03 00:00:00,33.973951,-118.248405,43.54241,-111.877936
rohwer2-8,9-rohwer,Sacramento,CA,Bridgeton,NJ,1944-06-01 00:00:00,38.380456,-121.555406,39.3762,-75.1617
rohwer2-9,9-rohwer,Delano,CA,Idaho Falls,ID,1943-12-29 00:00:00,35.779507,-119.200825,43.54241,-111.877936
rohwer2-10,9-rohwer,Sacramento,CA,Spokane,WA,1944-07-11 00:00:00,38.380456,-121.555406,47.66264,-117.435997
rohwer2-11,9-rohwer,Lodi,CA,Idaho Falls,ID,1943-03-09 00:00:00,38.111356,-121.172415,43.54241,-111.877936
rohwer2-12,9-rohwer,Downey,CA,Idaho Falls,ID,1943-12-29 00:00:00,33.786594,-118.298662,43.54241,-111.877936
rohwer2-13,9-rohwer,Downey,CA,Idaho Falls,ID,1943-12-29 00:00:00,33.786594,-118.298662,43.54241,-111.877936
rohwer2-14,9-rohwer,Downey,CA,Idaho Falls,ID,1943-12-29 00:00:00,33.786594,-118.298662,43.54241,-111.877936
