far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
topaz1-1,1-topaz,San Francisco,CA,San Francisco,CA,1945-10-11 00:00:00,37.776646,-122.417481,37.776646,-122.417481
topaz1-2,1-topaz,San Francisco,CA,San Francisco,CA,1945-10-11 00:00:00,37.776646,-122.417481,37.776646,-122.417481
topaz1-3,1-topaz,San Francisco,CA,San Francisco,CA,1945-10-11 00:00:00,37.776646,-122.417481,37.776646,-122.417481
topaz1-4,1-topaz,San Francisco,CA,San Francisco,CA,1945-10-11 00:00:00,37.776646,-122.417481,37.776646,-122.417481
topaz1-5,1-topaz,San Francisco,CA,Elberta,UT,1945-10-24 00:00:00,37.776646,-122.417481,39.97389,-111.95538
topaz1-6,1-topaz,San Francisco,CA,Elberta,UT,1945-10-24 00:00:00,37.776646,-122.417481,39.97389,-111.95538
topaz1-7,1-topaz,San Francisco,CA,Elberta,UT,1945-10-24 00:00:00,37.776646,-122.417481,39.97389,-111.95538
topaz1-8,1-topaz,,,Elberta,UT,1945-10-24 00:00:00,,,39.97389,-111.95538
topaz1-9,1-topaz,,,Elberta,UT,1945-10-24 00:00:00,,,39.97389,-111.95538
topaz1-14,1-topaz,San Francisco,CA,Chicago,IL,1943-11-04 00:00:00,37.776646,-122.417481,41.88531,-87.62213
topaz1-15,1-topaz,San Francisco,CA,Kansas City,MO,1943-03-24 00:00:00,37.776646,-122.417481,39.102404,-94.598583
topaz1-16,1-topaz,San Francisco,CA,Elmhurst,IL,1943-03-02 00:00:00,37.776646,-122.417481,41.88353,-87.946413
topaz1-17,1-topaz,Parkdale,OR,Parkdale,OR,1945-10-27 00:00:00,45.519839,-121.596742,45.519839,-121.596742
topaz1-18,1-topaz,Parkdale,OR,Parkdale,OR,1945-10-27 00:00:00,45.519839,-121.596742,45.519839,-121.596742
topaz1-19,1-topaz,San Francisco,CA,Ogden,UT,1943-05-06 00:00:00,37.776646,-122.417481,41.244261,-112.007924
topaz1-20,1-topaz,Alameda,CA,Alameda,CA,1945-10-26 00:00:00,37.770563,-122.264779,37.770563,-122.264779
topaz1-21,1-topaz,Alameda,CA,Alameda,CA,1945-10-26 00:00:00,37.770563,-122.264779,37.770563,-122.264779
topaz1-22,1-topaz,Alameda,CA,Alameda,CA,1945-09-27 00:00:00,37.770563,-122.264779,37.770563,-122.264779
topaz1-25,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-26,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-27,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-28,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-29,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-30,1-topaz,Mountain View,CA,San Francisco,CA,1945-10-11 00:00:00,37.189396,-121.705327,37.776646,-122.417481
topaz1-31,1-topaz,,,San Francisco,CA,1945-10-11 00:00:00,,,37.776646,-122.417481
topaz1-32,1-topaz,San Leandro,CA,Santa Cruz,CA,1945-10-19 00:00:00,37.715629,-122.158621,37.052748,-122.111126
topaz1-33,1-topaz,San Leandro,CA,Santa Cruz,CA,1945-10-19 00:00:00,37.715629,-122.158621,37.052748,-122.111126
topaz1-34,1-topaz,San Leandro,CA,Detroit,MI,1944-01-10 00:00:00,37.715629,-122.158621,42.347021,-83.060184
topaz1-35,1-topaz,San Leandro,CA,Santa Cruz,CA,1945-10-19 00:00:00,37.715629,-122.158621,37.052748,-122.111126
topaz1-36,1-topaz,San Leandro,CA,Santa Cruz,CA,1945-10-19 00:00:00,37.715629,-122.158621,37.052748,-122.111126
