far_id,camp,pre_city,pre_state,dest_city,dest_state,date_of_final_departure,pre_lat,pre_lng,dest_lat,dest_lng
tulelake2-30338,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30339,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30340,10-tulelake,,,,CA,1946-03-15 00:00:00,,,,
tulelake2-30341,10-tulelake,,,,CA,1946-01-16 00:00:00,,,,
tulelake2-30342,10-tulelake,,,,CA,1946-02-09 00:00:00,,,,
tulelake2-30343,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30344,10-tulelake,,,,CA,1945-11-17 00:00:00,,,,
tulelake2-30345,10-tulelake,,,,CA,1945-11-05 00:00:00,,,,
tulelake2-30346,10-tulelake,,,,UT,1946-02-26 00:00:00,,,,
tulelake2-30347,10-tulelake,,,,,1945-12-27 00:00:00,,,,
tulelake2-30348,10-tulelake,,,,HI,1946-01-04 00:00:00,,,,
tulelake2-30349,10-tulelake,,,,HI,1945-11-30 00:00:00,,,,
tulelake2-30350,10-tulelake,,,,CA,1945-11-12 00:00:00,,,,
tulelake2-30351,10-tulelake,,,,CA,1945-12-11 00:00:00,,,,
tulelake2-30352,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30353,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30354,10-tulelake,,,,CA,1946-02-25 00:00:00,,,,
tulelake2-30355,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30356,10-tulelake,,,,IL,1946-02-19 00:00:00,,,,
tulelake2-30357,10-tulelake,,,,CA,1945-12-10 00:00:00,,,,
tulelake2-30358,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30359,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30360,10-tulelake,,,,CA,1946-02-25 00:00:00,,,,
tulelake2-30361,10-tulelake,,,,PA,1945-08-14 00:00:00,,,,
tulelake2-30362,10-tulelake,,,,WA,1945-09-27 00:00:00,,,,
tulelake2-30363,10-tulelake,,,,CA,1945-11-20 00:00:00,,,,
tulelake2-30364,10-tulelake,,,,CA,1945-10-30 00:00:00,,,,
tulelake2-30365,10-tulelake,,,,HI,1946-03-04 00:00:00,,,,
tulelake2-30366,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30367,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30368,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30369,10-tulelake,,,,HI,1946-03-04 00:00:00,,,,
tulelake2-30370,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30371,10-tulelake,,,,CA,1945-12-09 00:00:00,,,,
tulelake2-30372,10-tulelake,,,,CA,1946-02-20 00:00:00,,,,
tulelake2-30373,10-tulelake,,,,UT,1946-02-18 00:00:00,,,,
tulelake2-30374,10-tulelake,,,,CA,1946-03-16 00:00:00,,,,
tulelake2-30375,10-tulelake,,,,CA,1946-03-03 00:00:00,,,,
tulelake2-30376,10-tulelake,,,,CA,1946-02-26 00:00:00,,,,
tulelake2-30377,10-tulelake,,,,CA,1946-02-21 00:00:00,,,,
tulelake2-30378,10-tulelake,,,,CA,1946-01-13 00:00:00,,,,
tulelake2-30379,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30380,10-tulelake,,,,WA,1946-02-25 00:00:00,,,,
tulelake2-30381,10-tulelake,,,,UT,1945-12-18 00:00:00,,,,
tulelake2-30382,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30383,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30384,10-tulelake,,,,CA,1946-02-20 00:00:00,,,,
tulelake2-30385,10-tulelake,,,,CA,1946-02-19 00:00:00,,,,
tulelake2-30386,10-tulelake,,,,CA,1946-02-14 00:00:00,,,,
tulelake2-30387,10-tulelake,,,,CA,1945-12-07 00:00:00,,,,
tulelake2-30388,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30389,10-tulelake,,,,WA,1946-01-05 00:00:00,,,,
tulelake2-30390,10-tulelake,,,,CA,1946-02-25 00:00:00,,,,
tulelake2-30391,10-tulelake,,,,CA,1946-03-15 00:00:00,,,,
tulelake2-30392,10-tulelake,,,,CA,1945-12-20 00:00:00,,,,
tulelake2-30393,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30394,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30395,10-tulelake,,,,NY,1945-10-11 00:00:00,,,,
tulelake2-30396,10-tulelake,,,,CA,1946-02-16 00:00:00,,,,
tulelake2-30397,10-tulelake,,,,CA,1946-02-19 00:00:00,,,,
tulelake2-30398,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30399,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30400,10-tulelake,,,,CA,1946-03-14 00:00:00,,,,
tulelake2-30401,10-tulelake,,,,CA,1946-02-22 00:00:00,,,,
tulelake2-30402,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30403,10-tulelake,,,,CA,1946-03-03 00:00:00,,,,
tulelake2-30404,10-tulelake,,,,CA,1945-11-14 00:00:00,,,,
tulelake2-30405,10-tulelake,,,,CA,1946-03-18 00:00:00,,,,
tulelake2-30406,10-tulelake,,,,CA,1946-01-09 00:00:00,,,,
tulelake2-30407,10-tulelake,,,,CA,1945-12-20 00:00:00,,,,
tulelake2-30409,10-tulelake,,,,HI,1945-11-30 00:00:00,,,,
tulelake2-30410,10-tulelake,,,,CA,1946-03-14 00:00:00,,,,
tulelake2-30411,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30412,10-tulelake,,,,CA,1946-03-05 00:00:00,,,,
tulelake2-30413,10-tulelake,,,,CA,1946-02-20 00:00:00,,,,
tulelake2-30414,10-tulelake,,,,CA,1946-02-19 00:00:00,,,,
tulelake2-30415,10-tulelake,,,,CA,1945-11-28 00:00:00,,,,
tulelake2-30416,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30417,10-tulelake,,,,CA,1945-09-18 00:00:00,,,,
tulelake2-30418,10-tulelake,,,,CA,1945-12-17 00:00:00,,,,
tulelake2-30419,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30420,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30421,10-tulelake,,,,NY,1945-11-08 00:00:00,,,,
tulelake2-30422,10-tulelake,,,,CA,1946-02-28 00:00:00,,,,
tulelake2-30423,10-tulelake,,,,NJ,1946-02-19 00:00:00,,,,
tulelake2-30425,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30426,10-tulelake,,,,,1946-02-19 00:00:00,,,,
tulelake2-30427,10-tulelake,,,,CA,1945-12-10 00:00:00,,,,
tulelake2-30428,10-tulelake,,,,CA,1946-03-13 00:00:00,,,,
tulelake2-30429,10-tulelake,,,,HI,1945-11-30 00:00:00,,,,
tulelake2-30430,10-tulelake,,,,CA,1946-02-14 00:00:00,,,,
tulelake2-30431,10-tulelake,,,,CA,1946-03-01 00:00:00,,,,
tulelake2-30433,10-tulelake,,,,CA,1946-03-01 00:00:00,,,,
tulelake2-30434,10-tulelake,,,,CA,1946-03-01 00:00:00,,,,
tulelake2-30436,10-tulelake,,,,CA,1945-10-17 00:00:00,,,,
tulelake2-30437,10-tulelake,,,,CA,1946-01-05 00:00:00,,,,
tulelake2-30438,10-tulelake,,,,CA,1945-12-19 00:00:00,,,,
tulelake2-30439,10-tulelake,,,,CA,1946-02-14 00:00:00,,,,
tulelake2-30440,10-tulelake,,,,UT,1946-03-09 00:00:00,,,,
tulelake2-30441,10-tulelake,,,,CA,1946-02-21 00:00:00,,,,
tulelake2-30442,10-tulelake,,,,PA,1945-12-22 00:00:00,,,,
tulelake2-30443,10-tulelake,,,,CA,1946-03-15 00:00:00,,,,
tulelake2-30444,10-tulelake,,,,CA,1945-11-16 00:00:00,,,,
tulelake2-30446,10-tulelake,,,,CA,1946-03-03 00:00:00,,,,
tulelake2-30447,10-tulelake,,,,CA,1945-11-30 00:00:00,,,,
tulelake2-30448,10-tulelake,,,,CA,1945-12-25 00:00:00,,,,
tulelake2-30449,10-tulelake,,,,CA,1946-01-15 00:00:00,,,,
tulelake2-30450,10-tulelake,,,,,1945-12-28 00:00:00,,,,
tulelake2-30451,10-tulelake,,,,,1945-12-28 00:00:00,,,,
tulelake2-30453,10-tulelake,,,,CA,1946-01-28 00:00:00,,,,
tulelake2-30454,10-tulelake,,,,CA,1946-03-14 00:00:00,,,,
tulelake2-30456,10-tulelake,,,,CA,1946-02-22 00:00:00,,,,
tulelake2-30457,10-tulelake,,,,CA,1946-01-28 00:00:00,,,,
tulelake2-30458,10-tulelake,,,,CA,1946-01-09 00:00:00,,,,
tulelake2-30459,10-tulelake,,,,CA,1946-02-21 00:00:00,,,,
tulelake2-30460,10-tulelake,,,,CA,1945-10-04 00:00:00,,,,
tulelake2-30461,10-tulelake,,,,OR,1946-02-19 00:00:00,,,,
tulelake2-30462,10-tulelake,,,,CA,1946-01-25 00:00:00,,,,
tulelake2-30463,10-tulelake,,,,CA,1946-01-14 00:00:00,,,,
tulelake2-30464,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30465,10-tulelake,,,,CA,1945-12-17 00:00:00,,,,
tulelake2-30466,10-tulelake,,,,CA,1946-03-14 00:00:00,,,,
tulelake2-30467,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30468,10-tulelake,,,,CA,1946-02-20 00:00:00,,,,
tulelake2-30469,10-tulelake,,,,CA,1946-02-20 00:00:00,,,,
tulelake2-30470,10-tulelake,,,,OR,1946-03-06 00:00:00,,,,
tulelake2-30471,10-tulelake,,,,,1946-03-12 00:00:00,,,,
tulelake2-30472,10-tulelake,,,,IL,1945-11-28 00:00:00,,,,
tulelake2-30473,10-tulelake,,,,CA,1946-02-25 00:00:00,,,,
tulelake2-30474,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30475,10-tulelake,,,,CA,1946-02-25 00:00:00,,,,
tulelake2-30476,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30477,10-tulelake,,,,CA,1945-12-11 00:00:00,,,,
tulelake2-30478,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30479,10-tulelake,,,,CA,1946-03-16 00:00:00,,,,
tulelake2-30481,10-tulelake,,,,NJ,1946-02-22 00:00:00,,,,
tulelake2-30482,10-tulelake,,,,CA,1945-12-18 00:00:00,,,,
tulelake2-30483,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30484,10-tulelake,,,,,1945-12-25 00:00:00,,,,
tulelake2-30485,10-tulelake,,,,CA,1946-01-29 00:00:00,,,,
