Assembly Center origin,latitude1,longitude1,Relocation Center destination,latitude2,longitude2,Transfer order number,Date of Departure,Date of Arrival,Persons transferred,
Portland,45.60688989752562,-122.6898138969299,Tule Lake,41.88475715736669,-121.3738301451061,1,5/26/1942,5/26/1942,250,
Puyallup,47.18424456634575,-122.2939900230675,Tule Lake,41.88475715736669,-121.3738301451061,1,5/26/1942,5/26/1942,196,
Mayer,34.39845,-112.2293472222222,Colorado River,33.98762619602396,-114.4012194032189,2,6/2/1942,6/2/1942,246,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/15/1942,6/16/1942,498,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/16/1942,6/17/1942,504,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/17/1942,6/18/1942,512,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/18/1942,6/19/1942,494,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/19/1942,6/20/1942,497,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/20/1942,6/21/1942,499,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/21/1942,6/22/1942,509,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/22/1942,6/23/1942,512,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/23/1942,6/24/1942,545,
Sacramento,38.66844828776156,-121.3511131107349,Tule Lake,41.88475715736669,-121.3738301451061,3,6/26/1942,6/26/1942,85,
Marysville,39.04751108975582,-121.5712148555736,Tule Lake,41.88475715736669,-121.3738301451061,4,6/24/1942,6/25/1942,520,
Marysville,39.04751108975582,-121.5712148555736,Tule Lake,41.88475715736669,-121.3738301451061,4,6/25/1942,6/26/1942,499,
Marysville,39.04751108975582,-121.5712148555736,Tule Lake,41.88475715736669,-121.3738301451061,4,6/26/1942,6/27/1942,488,
Marysville,39.04751108975582,-121.5712148555736,Tule Lake,41.88475715736669,-121.3738301451061,4,6/27/1942,6/28/1942,490,
Marysville,39.04751108975582,-121.5712148555736,Tule Lake,41.88475715736669,-121.3738301451061,4,6/28/1942,6/29/1942,397,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,6/28/1942,6/29/1942,483,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,6/29/1942,6/30/1942,482,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,6/30/1942,7/1/1942,499,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,7/1/1942,7/2/1942,451,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,7/2/1942,7/3/1942,451,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,7/3/1942,7/4/1942,517,
Salinas,36.69115184830009,-121.651304132748,Colorado River,33.98762619602396,-114.4012194032189,5,7/4/1942,7/5/1942,592,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/15/1942,7/16/1942,501,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/16/1942,7/17/1942,503,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/17/1942,7/18/1942,508,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/18/1942,7/19/1942,515,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/19/1942,7/20/1942,513,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/20/1942,7/21/1942,515,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/22/1942,7/23/1942,510,
Pinedale,36.84437735635104,-119.8044273763797,Tule Lake,41.88475715736669,-121.3738301451061,6,7/23/1942,7/24/1942,446,
Pinedale,36.84437735635104,-119.8044273763797,Colorado River,33.98762619602396,-114.4012194032189,6,7/21/1942,7/22/1942,345,
Pinedale,36.84437735635104,-119.8044273763797,Colorado River,33.98762619602396,-114.4012194032189,6,7/21/1942,7/22/1942,350,
Salinas,36.69115184830009,-121.651304132748,Tule Lake,41.88475715736669,-121.3738301451061,7,7/3/1942,7/4/1942,105,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,7/18/1942,7/20/1942,520,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,7/25/1942,7/27/1942,510,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,7/26/1942,7/28/1942,513,
Turlock,37.50179351452003,-120.858163760034,Gila River,33.07215651719934,-111.8888227381422,8,7/27/1942,7/29/1942,519,
