id,title,description,link
WRA,War Relocation Authority,"The War Relocation Authority (WRA) was the federal agency created in 1942 to care for the 110,000 Japanese Americans whom the army removed from the West Coast during World War II.",https://encyclopedia.densho.org/War_Relocation_Authority/
EAIS,EAIS,EAIS description,
Hawaii,Hawaii,Hawaii description,
Concentration Camp,Concentration Camp,,
Temporary Assembly Center,Temporary Assembly Center,,
Additional Facility,Additional Facility,,
Citizen Isolation Center,Citizen Isolation Center,,
Department of Justice Internment Camp,Department of Justice Internment Camp,,
Immigration Detention Station,Immigration Detention Station,,
US Army Internment Camp,US Army Internment Camp,,
US Federal Prison,US Federal Prison,,
